feature,coefficient,absolute_coefficient
categorical__medical_specialty_Pediatrics-Endocrinology,-2.2625210774406157,2.2625210774406157
categorical__medical_specialty_Gynecology,-1.7727880741027164,1.7727880741027164
categorical__discharge_disposition_id_17,-1.6351697635651552,1.6351697635651552
categorical__medical_specialty_Otolaryngology,-1.5628942279024258,1.5628942279024258
categorical__discharge_disposition_id_15,1.5054901651528927,1.5054901651528927
categorical__admission_type_id_7,-1.4452334828534632,1.4452334828534632
categorical__medical_specialty_Hematology,1.2916344626489937,1.2916344626489937
categorical__discharge_disposition_id_28,1.2587950504542913,1.2587950504542913
categorical__admission_source_id_infrequent_sklearn,-1.2007124164315242,1.2007124164315242
categorical__tolbutamide_Steady,-1.1868333768400459,1.1868333768400459
categorical__discharge_disposition_id_9,1.1225397695751906,1.1225397695751906
categorical__medical_specialty_Obstetrics,-1.0867013438353212,1.0867013438353212
categorical__discharge_disposition_id_23,-1.0816066923261665,1.0816066923261665
categorical__discharge_disposition_id_22,0.9582564994559537,0.9582564994559537
categorical__chlorpropamide_infrequent_sklearn,-0.8648781995364568,0.8648781995364568
categorical__tolbutamide_No,0.8587331745699692,0.8587331745699692
categorical__glipizide_metformin_infrequent_sklearn,-0.8537700075673832,0.8537700075673832
categorical__medical_specialty_Hematology/Oncology,0.8481192237427778,0.8481192237427778
categorical__medical_specialty_Radiology,0.799206463819087,0.799206463819087
categorical__medical_specialty_Pediatrics-CriticalCare,-0.7674397763544369,0.7674397763544369
categorical__discharge_disposition_id_24,-0.737744305482239,0.737744305482239
categorical__medical_specialty_InfectiousDiseases,0.700656457103598,0.700656457103598
categorical__nateglinide_Up,-0.6829993407074616,0.6829993407074616
categorical__medical_specialty_Pathology,-0.6592633909384781,0.6592633909384781
categorical__medical_specialty_Surgery-Plastic,0.6458269669139148,0.6458269669139148
categorical__discharge_disposition_id_5,0.6128418719121624,0.6128418719121624
categorical__acarbose_Steady,-0.5854892694743463,0.5854892694743463
categorical__medical_specialty_Oncology,0.581254690774251,0.581254690774251
categorical__admission_source_id_8,0.5810123381494489,0.5810123381494489
categorical__medical_specialty_Anesthesiology-Pediatric,0.5773507503788965,0.5773507503788965
categorical__medical_specialty_Nephrology,0.549267469065483,0.549267469065483
categorical__medical_specialty_Surgery-Cardiovascular,-0.5437086768713738,0.5437086768713738
categorical__glipizide_metformin_No,0.5256698052974489,0.5256698052974489
categorical__medical_specialty_Endocrinology,-0.5181545512080302,0.5181545512080302
categorical__chlorpropamide_No,0.5037993520992466,0.5037993520992466
categorical__admission_type_id_infrequent_sklearn,0.5022721518054234,0.5022721518054234
categorical__diag_1_group_Missing,0.49526725268022836,0.49526725268022836
categorical__discharge_disposition_id_1,-0.4950092400683341,0.4950092400683341
categorical__medical_specialty_Surgery-Vascular,0.44550426539999416,0.44550426539999416
categorical__metformin_rosiglitazone_infrequent_sklearn,-0.4439070193840348,0.4439070193840348
categorical__repaglinide_Down,-0.4436350705807038,0.4436350705807038
categorical__medical_specialty_infrequent_sklearn,0.4181030587927862,0.4181030587927862
categorical__discharge_disposition_id_25,-0.41303074886015045,0.41303074886015045
categorical__medical_specialty_Psychiatry,0.4124337344845216,0.4124337344845216
categorical__discharge_disposition_id_infrequent_sklearn,-0.41113589176597964,0.41113589176597964
categorical__troglitazone_infrequent_sklearn,-0.4083527897404827,0.4083527897404827
categorical__medical_specialty_PhysicalMedicineandRehabilitation,0.39948045534376336,0.39948045534376336
categorical__acarbose_Up,0.38649789278331353,0.38649789278331353
categorical__medical_specialty_Neurology,-0.3714944880483726,0.3714944880483726
categorical__miglitol_Steady,-0.3631340798845698,0.3631340798845698
categorical__acetohexamide_infrequent_sklearn,-0.361486610943943,0.361486610943943
categorical__admission_source_id_3,0.3487342178626173,0.3487342178626173
categorical__rosiglitazone_Down,-0.3348256894194186,0.3348256894194186
categorical__glimepiride_pioglitazone_No,-0.3281002022677093,0.3281002022677093
categorical__metformin_pioglitazone_No,-0.3281002022677093,0.3281002022677093
categorical__repaglinide_Up,0.31851376792550584,0.31851376792550584
categorical__age_[0-10),-0.3183222135312848,0.3183222135312848
categorical__discharge_disposition_id_8,-0.3161100537040415,0.3161100537040415
categorical__medical_specialty_Hospitalist,-0.2965555391772789,0.2965555391772789
categorical__medical_specialty_Gastroenterology,0.289792554213364,0.289792554213364
categorical__tolazamide_infrequent_sklearn,-0.28821796354490037,0.28821796354490037
categorical__medical_specialty_Surgeon,0.28640317950665667,0.28640317950665667
categorical__metformin_Up,-0.28543182119158467,0.28543182119158467
categorical__discharge_disposition_id_6,-0.28517306857509467,0.28517306857509467
categorical__medical_specialty_Family/GeneralPractice,0.28180500290461585,0.28180500290461585
categorical__medical_specialty_Surgery-Thoracic,0.27854121960926415,0.27854121960926415
categorical__diabetes_med_No,-0.2761902339622223,0.2761902339622223
categorical__medical_specialty_Rheumatology,0.2761366142199204,0.2761366142199204
categorical__medical_specialty_Urology,0.2756521297034067,0.2756521297034067
categorical__glyburide_metformin_infrequent_sklearn,-0.2730372880363533,0.2730372880363533
categorical__age_[10-20),-0.26753410364935637,0.26753410364935637
categorical__glyburide_Down,-0.2674719108032329,0.2674719108032329
categorical__medical_specialty_Pulmonology,0.2639993397707725,0.2639993397707725
categorical__discharge_disposition_id_4,-0.2535343610797143,0.2535343610797143
numeric__number_inpatient,0.2441293193355549,0.2441293193355549
categorical__diag_3_group_Neoplasm,0.23319207142795143,0.23319207142795143
categorical__diag_3_group_Missing,-0.22999380120815022,0.22999380120815022
categorical__acarbose_No,-0.22809720294741867,0.22809720294741867
categorical__medical_specialty_InternalMedicine,0.22537694327837943,0.22537694327837943
categorical__glimepiride_Steady,-0.22048541353838388,0.22048541353838388
categorical__medical_specialty_Orthopedics-Reconstructive,-0.21930163908859326,0.21930163908859326
categorical__diag_2_group_Neoplasm,0.21818107390323188,0.21818107390323188
categorical__diag_1_group_Respiratory,-0.2151102447738161,0.2151102447738161
categorical__max_glu_serum_Norm,-0.21016928045949468,0.21016928045949468
categorical__admission_type_id_6,0.20560911175531082,0.20560911175531082
categorical__medical_specialty_Ophthalmology,-0.2056058737459862,0.2056058737459862
categorical__medical_specialty_ObstetricsandGynecology,-0.2039130710539994,0.2039130710539994
