,missing_count,missing_percent,unique_values,data_type
weight,98569,96.86,9,str
max_glu_serum,96420,94.75,3,str
a1cresult,84748,83.28,3,str
medical_specialty,49949,49.08,72,str
payer_code,40256,39.56,17,str
race,2273,2.23,5,str
diag_3,1423,1.4,789,str
diag_2,358,0.35,748,str
diag_1,21,0.02,716,str
tolbutamide,0,0.0,2,str
pioglitazone,0,0.0,4,str
rosiglitazone,0,0.0,4,str
acarbose,0,0.0,4,str
miglitol,0,0.0,4,str
troglitazone,0,0.0,2,str
examide,0,0.0,1,str
tolazamide,0,0.0,3,str
glipizide,0,0.0,4,str
citoglipton,0,0.0,1,str
insulin,0,0.0,4,str
glyburide_metformin,0,0.0,4,str
glipizide_metformin,0,0.0,2,str
glimepiride_pioglitazone,0,0.0,2,str
metformin_rosiglitazone,0,0.0,2,str
metformin_pioglitazone,0,0.0,2,str
change,0,0.0,2,str
diabetesmed,0,0.0,2,str
glyburide,0,0.0,4,str
nateglinide,0,0.0,4,str
acetohexamide,0,0.0,2,str
num_medications,0,0.0,75,int64
age,0,0.0,10,str
admission_type_id,0,0.0,8,int64
discharge_disposition_id,0,0.0,26,int64
admission_source_id,0,0.0,17,int64
time_in_hospital,0,0.0,14,int64
num_lab_procedures,0,0.0,118,int64
num_procedures,0,0.0,7,int64
number_outpatient,0,0.0,39,int64
glimepiride,0,0.0,4,str
number_emergency,0,0.0,33,int64
number_inpatient,0,0.0,21,int64
number_diagnoses,0,0.0,16,int64
metformin,0,0.0,4,str
repaglinide,0,0.0,4,str
gender,0,0.0,3,str
chlorpropamide,0,0.0,4,str
readmitted,0,0.0,3,str
